"Nombre de la cuenta";"Sector";"Tipo";"Propietario de la cuenta";"Fecha de la última modificación"
"ECOROCA";"INGENIERIA";"Customer";"JHOAN ORTIZ";"8/04/2024"
"PROGRAMING SAS";"INGENIERIA";"Customer";"JHOAN ORTIZ";"8/04/2024"
"MEGA PROYECTOS DE TECNOLOGÍA";"INGENIERIA";"Customer";"Juan Garzón Linares";"12/08/2025"
"AYC AUTOMATIZACION Y CONTROL INGENIERIA";"INGENIERIA";"Customer";"LIZETH MARTINEZ";"11/04/2024"
"AREZ INGENIERÍA";"INGENIERIA";"Integrator";"Juan Garzón Linares";"12/08/2025"
"SYSTELM - ELECTRONIC";"INGENIERIA";"Integrator";"Juan Garzón Linares";"15/08/2025"
"DISTECNA S.A.S";"INGENIERIA";"Integrator";"HERNAN ROLDAN";"12/08/2025"
"BOBINACOL";"INGENIERIA";"Customer";"Juan Garzón Linares";"12/08/2025"
"ASSET MANAGEMENT RESOURCES AMR SAS";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"EMSEC S.A.S";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
"METROLOGIA Y CONTROL SAS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"CIDEFER SAS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"P&P INGENIEROS";"INGENIERIA";"Customer";"KAREN CARRILLO";"22/01/2025"
"ESPINCONTROL S.A.S.";"INGENIERIA";"Integrator";"Juan Garzón Linares";"12/08/2025"
"JHD SOLUCIONES INTEGRALES";"INGENIERIA";"Integrator";"Juan Garzón Linares";"13/08/2025"
"AUTOMATIZACION, CONTROL E INSTRUMENTACIÓN SAS";"INGENIERIA";"Customer";"Juan Garzón Linares";"13/08/2025"
"INS S.A.";"INGENIERIA";"Customer";"Juan Garzón Linares";"13/08/2025"
"EMIFETED";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"SAMCO INGENIERIA";"INGENIERIA";"Integrator";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"INTEGRA ELECTRICA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"INTEGRA ELECTRICA";"INGENIERIA";"Customer";"PABLO RODRIGUEZ RODRIGUEZ";"14/08/2025"
"VALVULAS Y SERVICIOS INDUSTRIALES SAS";"INGENIERIA";"Customer";"HERNAN ROLDAN";"12/08/2025"
"ANTHARTIK";"INGENIERIA";"Customer";"HERNAN ROLDAN";"8/04/2024"
"Ingenieria y suministros SAS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"MG PRODINS";"INGENIERIA";"Customer";"CLAUDIA RODRIGUEZ RODRIGUEZ";"21/08/2025"
"BFOCUS TECHNOLOGIES";"INGENIERIA";"Customer";"MELISSA PEREZ";"20/08/2025"
